constituency_name,first_party,electorate,valid_votes,invalid_votes,turnout,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,IMDmean,declaration_time,urbn_pr
Runnymede And Weybridge,Con,73771,50052,182,68.09450868227353,22134,29901,7767,3362,6951,2071,0,0,0,0,0,0,0,0,10.6094333940861,08/05/2015 04:43,9.4477974
Rushcliffe,Con,73278,55164,289,75.67482736974263,13829,28354,14525,2783,5943,3559,0,0,0,0,0,0,0,0,8.12025077362512,08/05/2015 06:52,0
Rutland And Melton,Con,79693,54603,214,68.78521325586941,21705,30383,8383,4407,8678,2325,0,0,0,0,0,0,0,427,11.9853139859086,08/05/2015 06:15,5.4905874
Saffron Walden,Con,80615,57563,219,71.6764870061403,24991,32926,6791,6079,7935,2174,0,0,0,0,0,0,0,1658,11.3349789493573,08/05/2015 06:02,4.757698
Salford And Eccles,Lab,74291,43261,201,58.50237579249169,12541,8823,21364,1614,7806,2251,0,0,0,0,0,0,0,1403,35.0782283873279,08/05/2015 05:33,71.289177
Salisbury,Con,69582,50705,68,72.96858382915121,20421,28192,7771,5099,6152,2762,0,0,0,0,0,0,0,729,13.2748732926857,08/05/2015 03:47,0
Scarborough And Whitby,Con,73511,47739,186,65.19432465889459,6200,20613,14413,2159,8162,2185,0,0,0,0,0,0,0,207,18.7464357579561,08/05/2015 05:23,63.5351311
Scunthorpe,Lab,64025,36941,133,57.90550566185084,3134,12259,15393,770,6329,887,0,0,0,0,0,0,0,1303,18.8490234419081,08/05/2015 04:50,86.0663092
Sedgefield,Lab,62844,38716,96,61.75927693972376,6843,11432,18275,1370,6426,1213,0,0,0,0,0,0,0,0,18.3440857907127,08/05/2015 03:47,1.4580888
Sefton Central,Lab,67744,49021,200,72.65735710911667,11846,14513,26359,2086,4879,1184,0,0,0,0,0,0,0,0,17.0736283745271,08/05/2015 05:54,7.5403414
Selby And Ainsty,Con,76082,52804,172,69.63013590599616,13557,27725,14168,1920,7389,1465,0,0,0,0,0,0,0,137,10.9036639731408,08/05/2015 06:06,0
Sevenoaks,Con,71958,50124,231,69.97832068706745,19561,28531,6448,3937,8970,2238,0,0,0,0,0,0,0,0,12.0577197383581,08/05/2015 04:58,0
Sheffield Brightside And Hillsborough,Lab,70874,40053,149,56.72319891638683,13807,4407,22663,1802,8856,1712,0,0,0,0,0,0,0,613,42.5398139328792,08/05/2015 05:29,0
Sheffield Central,Lab,72321,44173,199,61.35424012389209,17309,4917,24308,4278,3296,6999,0,0,0,0,0,0,0,375,27.8772016384142,08/05/2015 05:04,100
Sheffield Hallam,LD,72351,55481,121,76.85035452170668,2353,7544,19862,22215,3575,1772,0,0,0,0,0,0,0,513,9.55890599027197,08/05/2015 04:52,0
Sheffield Heeley,Lab,67950,42048,131,62.07358351729213,12954,6792,20269,4746,7315,2566,0,0,0,0,0,0,0,360,27.9578484405171,08/05/2015 05:16,0
Sheffield South East,Lab,70422,41685,108,59.34651103348385,12311,7242,21439,2226,9128,1117,0,0,0,0,0,0,0,533,31.5295273565779,08/05/2015 05:21,99.5618495
Sherwood,Con,73349,50698,127,69.29201488772853,4647,22833,18186,1094,7399,1108,0,0,0,0,0,0,0,78,17.4452432597298,08/05/2015 06:01,6.9286946
Shipley,Con,70464,50542,120,71.89770663033606,9624,25269,15645,1949,4479,2657,0,0,0,0,0,0,0,543,14.8134090219546,08/05/2015 07:10,3.9988741
