"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish Green Party","ScottishGreens","2021-03-17 20:23:14 CET","More people than ever before can vote this May! This includes everyone over 16 with leave to remain, including people with refugee status. 🗳️ Make sure that you are registered to vote: https://www.gov.uk/register-to-vote Vote for the Scottish Greens! 💚🏴󠁧󠁢󠁳",33,4,15,"https://www.facebook.com/17999726169/posts/10159153304131170"
"Scottish Liberal Democrats","ScotLibDems","2021-03-17 19:17:06 CET","It is now written in black and white that the SNP don’t believe anything is more important than independence. https://www.scotlibdems.org.uk/snp_vote_to_put_a_referendum_before_the_recovery",10,8,4,"https://www.facebook.com/397986050296687/posts/3846699298758661"
"Scottish Conservatives","ScottishConservatives","2021-03-17 18:43:09 CET","Life should mean life. Today we announced plans for a law to guarantee that Scotland's worst criminals are locked up behind bars for good. Only the Scottish Conservatives would end Humza Yousaf's soft-touch justice system.",822,90,65,"https://www.facebook.com/136308776480/posts/10157825937226481"
"Scottish National Party (SNP)","theSNP","2021-03-17 18:26:34 CET","💉 In 100 days, Scotland’s vaccination rollout has given over 2 million people their first dose of the COVID vaccine. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 That means 44% of Scotland's population has now been vaccinated. Thank you to everyone that rolled up their sleeves to get the jab.",1661,798,219,"https://www.facebook.com/77249349077/posts/10159336908109078"
"Scottish Liberal Democrats","ScotLibDems","2021-03-17 17:58:24 CET","Scottish Liberal Democrats want our remote and rural communities to be great places to live, work and study. That's why we are setting out new proposals to put power in the hands of local community managers and prioritise investment in catch up zones to ensure that everyone has access to the digital services they need to prosper.",3,1,0,"https://www.facebook.com/397986050296687/posts/3846537115441546"
"Scottish Green Party","ScottishGreens","2021-03-17 17:40:41 CET","This is welcome news, but it is just the first step towards building a greener, integrated public transport system which serves communities not shareholders. 🚂",725,56,71,"https://www.facebook.com/17999726169/posts/10159152887681170"
"Scottish National Party (SNP)","theSNP","2021-03-17 17:05:30 CET","🚇 CONFIRMED - an SNP Government will bring ScotRail into public hands. 📣 Michael Matheson MSP: “We will secure stable delivery of ScotRail services within public hands and under Scottish Government control, providing certainty for passengers and rail staff.”",2800,1074,526,"https://www.facebook.com/77249349077/posts/10159336754714078"
"Scottish Green Party","ScottishGreens","2021-03-17 16:50:00 CET","Climate science gives us just nine years to reverse climate breakdown. This election has to be a climate election. Only the Scottish Greens have the solutions to act now. Vote like our future depends on it. Vote for the Scottish Greens. #VoteScottishGreens 💚🌍",33,2,13,"https://www.facebook.com/17999726169/posts/10159152697506170"
"Scottish National Party (SNP)","theSNP","2021-03-17 16:10:00 CET","🚃 We’re bringing ScotRail services into public hands, securing a stable future for our railways. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 At the end of the current franchise in 2022, control of Scotland’s railways will be in the public sector - an approach which will best serve the interests of Scotland.",4682,877,1154,"https://www.facebook.com/77249349077/posts/10159336634564078"
"Scottish Conservatives","ScottishConservatives","2021-03-17 15:43:02 CET","The SNP are in meltdown over the Alex Salmond scandal. Today, Humza Yousaf has gone all Donald Trump and said the polls are ""rigged"" in a Twitter rant about ""conspiracies.""",552,337,134,"https://www.facebook.com/136308776480/posts/10157825580291481"
